epoch,loss,grad_norm,learning_rate,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_binary,eval_f1_class0,eval_f1_class1,eval_runtime,eval_samples_per_second,eval_steps_per_second,run_id,model,context,max_len
5.0,0.17836540222167968,4.637216091156006,5.639423076923077e-06,0.42139169573783875,0.8551724137931035,0.8310394651858066,0.7671840354767184,0.8948948948948949,0.7671840354767184,1.7823,406.777,25.809,2026-05-08_16-41-19,baseline,False,192
5.769230769230769,0.13129844665527343,11.832389831542969,4.197115384615385e-06,0.3996635973453522,0.88,0.8514137775882742,0.7862407862407862,0.9165867689357622,0.7862407862407862,1.78,407.304,25.843,2026-05-08_16-41-19,baseline,False,192
6.923076923076923,0.10294783592224122,7.870875358581543,2.033653846153846e-06,0.43014824390411377,0.88,0.8522934039608552,0.7883211678832117,0.9162656400384985,0.7883211678832117,1.7796,407.406,25.849,2026-05-08_16-41-19,baseline,False,192
7.6923076923076925,0.08895590782165527,11.692122459411621,5.913461538461538e-07,0.4733695685863495,0.8772413793103448,0.8475397247327072,0.7802469135802469,0.9148325358851674,0.7802469135802469,1.7828,406.675,25.803,2026-05-08_16-41-19,baseline,False,192
0.7692307692307693,0.4469540023803711,6.320567607879639,1.3572115384615385e-05,,,,,,,,,,2026-05-08_16-48-18,baseline,False,192
1.9230769230769231,0.3446001815795898,8.537009239196777,1.1408653846153845e-05,0.35419759154319763,0.8606896551724138,0.8386407257806836,0.7789934354485777,0.8982880161127895,0.7789934354485777,1.7807,407.133,25.832,2026-05-08_16-48-18,baseline,False,192
2.6923076923076925,0.26148448944091796,10.48321533203125,9.966346153846154e-06,0.3364458978176117,0.8593103448275862,0.8376152832674572,0.7782608695652173,0.896969696969697,0.7782608695652173,1.7787,407.593,25.861,2026-05-08_16-48-18,baseline,False,192
3.8461538461538463,0.20138673782348632,9.662439346313477,7.802884615384616e-06,0.33902791142463684,0.8717241379310345,0.8430242709970316,0.7759036144578313,0.9101449275362319,0.7759036144578313,1.775,408.453,25.916,2026-05-08_16-48-18,baseline,False,192
5.0,0.18106698989868164,4.874198913574219,5.639423076923077e-06,0.4300127923488617,0.8620689655172413,0.8333425282283277,0.7641509433962265,0.9025341130604289,0.7641509433962265,1.78,407.299,25.842,2026-05-08_16-48-18,baseline,False,192
5.769230769230769,0.1398989486694336,14.533187866210938,4.197115384615385e-06,0.42510128021240234,0.8675862068965517,0.8400088270991946,0.7735849056603774,0.9064327485380117,0.7735849056603774,1.7764,408.119,25.894,2026-05-08_16-48-18,baseline,False,192
